Squad,Season,League,Pts,GD,Pts_P,GD_P,UEFA,Cup,Transfers,CSI
Brighton,21-22,Premier,51,-2,51.2,51.7,0.0,18.0,75.58,35.2425
West Ham,18-19,Premier,52,-3,52.2,49.7,0.0,18.0,100.9,34.9175
Burnley,19-20,Premier,54,-7,57.7,43.7,0.0,18.0,23.85,34.755
Crystal Palace,23-24,Premier,49,-1,47.2,54.2,0.0,0.0,67.8,32.955000000000005
Fulham,25-26,Premier,52,-4,52.2,48.7,0.0,18.0,75.7,34.5925
Wolves,21-22,Premier,51,-5,51.2,48.2,0.0,18.0,37.6,34.105
Crystal Palace,18-19,Premier,49,-2,47.2,51.7,0.0,54.0,11.85,37.542500000000004
Southampton,16-17,Premier,46,-7,41.7,43.7,15.0,18.0,68.9,33.305
Everton,24-25,Premier,48,-2,45.2,51.7,0.0,18.0,50.64,33.292500000000004
Everton,25-26,Premier,49,-3,47.2,49.7,0.0,0.0,129.75,31.492500000000003
West Ham,22-23,Premier,40,-13,22.6,34.6,45.0,36.0,196.6,33.44
Watford,18-19,Premier,50,-7,50.7,43.7,0.0,90.0,30.1,39.68000000000001
Everton,17-18,Premier,49,-14,47.2,33.1,15.0,0.0,203.2,29.847500000000004
Leicester City,17-18,Premier,47,-4,43.7,48.7,0.0,54.0,83.85,35.43
Southampton,19-20,Premier,52,-9,52.2,39.6,0.0,18.0,61.5,31.635000000000005
Fulham,23-24,Premier,47,-6,43.7,46.2,0.0,18.0,73.17,31.017500000000002
Aston Villa,21-22,Premier,45,-2,37.1,51.7,0.0,0.0,129.8,28.860000000000003
Leeds United,25-26,Premier,47,-7,43.7,43.7,0.0,72.0,113.7,35.605000000000004
Brentford,21-22,Premier,46,-8,41.7,42.2,0.0,18.0,38.2,29.067500000000003
Everton,19-20,Premier,49,-12,47.2,36.6,0.0,0.0,121.0,27.235000000000003
Newcastle,18-19,Premier,45,-6,37.1,46.2,0.0,18.0,59.75,28.872500000000006
Bournemouth,23-24,Premier,48,-13,45.2,34.6,0.0,36.0,129.89,29.535000000000007
West Brom,16-17,Premier,45,-8,37.1,42.2,0.0,0.0,37.9,25.772500000000004
Bournemouth,16-17,Premier,46,-12,41.7,36.6,0.0,0.0,40.69,25.447500000000005
Crystal Palace,22-23,Premier,45,-9,37.1,39.6,0.0,0.0,46.6,24.927500000000002
Newcastle,17-18,Premier,44,-8,32.6,42.2,0.0,18.0,46.5,26.110000000000007
Newcastle,21-22,Premier,49,-18,47.2,26.1,0.0,0.0,138.5,23.822500000000005
Brighton,20-21,Premier,41,-6,26.1,46.2,0.0,36.0,54.6,27.097500000000007
Wolves,23-24,Premier,46,-15,41.7,30.6,0.0,54.0,94.0,28.897500000000008
Crystal Palace,17-18,Premier,44,-10,32.6,38.1,0.0,0.0,55.95,22.977500000000003
Bournemouth,18-19,Premier,45,-14,37.1,33.1,0.0,0.0,91.6,22.815
Wolves,20-21,Premier,45,-16,37.1,28.1,0.0,36.0,87.59,24.790000000000003
Newcastle,20-21,Premier,45,-16,37.1,28.1,0.0,0.0,38.75,21.19
West Ham,16-17,Premier,45,-17,37.1,27.1,0.0,0.0,83.5,20.865000000000002
Stoke City,16-17,Premier,44,-15,32.6,30.6,0.0,0.0,42.17,20.540000000000003
Crystal Palace,16-17,Premier,41,-13,26.1,34.6,0.0,18.0,101.2,21.527500000000003
Bournemouth,17-18,Premier,44,-16,32.6,28.1,0.0,0.0,34.3,19.727500000000003
Wolves,24-25,Premier,42,-15,29.6,30.6,0.0,36.0,119.4,23.165000000000003
Everton,23-24,Premier,40,-11,22.6,37.6,0.0,18.0,40.5,21.365000000000002
West Ham,24-25,Premier,43,-16,31.1,28.1,0.0,0.0,144.4,19.240000000000002
Brentford,23-24,Premier,39,-9,19.0,39.6,0.0,0.0,72.35,19.045
Brighton,19-20,Premier,41,-15,26.1,30.6,0.0,0.0,61.74,18.427500000000002
Crystal Palace,19-20,Premier,43,-19,31.1,24.1,0.0,0.0,7.6,17.94
Newcastle,19-20,Premier,44,-20,32.6,21.6,0.0,54.0,72.4,23.015
West Ham,19-20,Premier,39,-13,19.0,34.6,0.0,18.0,119.8,19.220000000000002
Southampton,20-21,Premier,43,-21,31.1,21.1,0.0,72.0,37.3,24.165
West Ham,17-18,Premier,42,-20,29.6,21.6,0.0,18.0,56.8,18.44
Burnley,16-17,Premier,40,-16,22.6,28.1,0.0,36.0,45.6,20.077500000000004
Crystal Palace,20-21,Premier,44,-25,32.6,16.0,0.0,0.0,32.4,15.795000000000002
Watford,17-18,Premier,41,-20,26.1,21.6,0.0,18.0,73.4,17.302500000000002
Brighton,17-18,Premier,40,-20,22.6,21.6,0.0,54.0,70.0,19.765
West Ham,25-26,Premier,39,-19,19.0,24.1,0.0,54.0,208.35,19.4075
Swansea City,16-17,Premier,41,-25,26.1,16.0,0.0,0.0,58.1,13.682500000000001
Burnley,18-19,Premier,40,-23,22.6,19.0,0.0,18.0,33.0,15.320000000000002
Southampton,21-22,Premier,40,-24,22.6,18.5,0.0,54.0,63.4,18.7575
Southampton,18-19,Premier,39,-20,19.0,21.6,0.0,0.0,62.25,13.195
Wolves,22-23,Premier,41,-27,26.1,14.0,0.0,0.0,179.51,13.0325
Southampton,17-18,Premier,36,-19,15.5,24.1,0.0,72.0,61.25,20.07
Burnley,20-21,Premier,39,-22,19.0,20.6,0.0,0.0,1.1,12.870000000000001
Leicester City,22-23,Premier,34,-17,12.0,27.1,0.0,36.0,49.0,16.3075
Burnley,21-22,Premier,35,-19,14.5,24.1,0.0,0.0,49.4,12.545000000000002
Everton,21-22,Premier,39,-23,19.0,19.0,0.0,54.0,39.5,17.75
Nottingham,23-24,Premier,32,-18,10.5,26.1,0.0,36.0,131.63,15.495000000000001
Watford,16-17,Premier,40,-28,22.6,12.5,0.0,18.0,70.45,13.207500000000001
Everton,22-23,Premier,36,-23,15.5,19.0,0.0,0.0,83.07,11.2125
Brighton,18-19,Premier,36,-25,15.5,16.0,0.0,72.0,90.62,17.4375
Aston Villa,19-20,Premier,35,-26,14.5,14.5,0.0,0.0,159.5,9.425
Nottingham,22-23,Premier,38,-30,17.5,11.0,0.0,0.0,198.35,9.262500000000001
Bournemouth,22-23,Premier,39,-34,19.0,9.5,0.0,0.0,93.4,9.262500000000001
Huddersfield,17-18,Premier,37,-30,17.0,11.0,0.0,36.0,56.75,12.7
Bournemouth,19-20,Premier,34,-25,12.0,16.0,0.0,18.0,54.91,10.9
West Brom,17-18,Premier,31,-25,9.5,16.0,0.0,36.0,53.5,11.8875
Watford,19-20,Premier,34,-28,12.0,12.5,0.0,0.0,56.0,7.9625
Leeds United,21-22,Premier,38,-37,17.5,7.0,0.0,0.0,59.3,7.9625
Swansea City,17-18,Premier,33,-28,11.0,12.5,0.0,54.0,73.39,13.037500000000001
Middlesbrough,16-17,Premier,28,-26,8.5,14.5,0.0,54.0,47.95,12.875
Fulham,20-21,Premier,28,-26,8.5,14.5,0.0,18.0,37.25,9.275
Cardiff City,18-19,Premier,34,-35,12.0,9.0,0.0,0.0,51.2,6.825
Stoke City,17-18,Premier,33,-33,11.0,10.0,0.0,0.0,57.7,6.825
Leeds United,22-23,Premier,31,-30,9.5,11.0,0.0,36.0,163.89,10.262500000000001
Luton Town,23-24,Premier,26,-33,7.0,10.0,0.0,36.0,25.9,9.125
Hull City,16-17,Premier,34,-43,12.0,4.0,0.0,18.0,40.0,7.0
Southampton,22-23,Premier,25,-37,6.0,7.0,0.0,36.0,154.21,7.825000000000001
West Brom,20-21,Premier,26,-41,7.0,5.5,0.0,0.0,42.14,4.0625
Burnley,23-24,Premier,24,-37,5.0,7.0,0.0,0.0,111.05,3.9000000000000004
Sunderland,16-17,Premier,24,-40,5.0,6.5,0.0,0.0,41.9,3.7375000000000003
Burnley,25-26,Premier,22,-37,2.5,7.0,0.0,18.0,131.5,4.8875
Fulham,18-19,Premier,26,-47,7.0,2.5,0.0,0.0,116.5,3.0875
Leicester City,24-25,Premier,25,-47,6.0,2.5,0.0,18.0,90.05,4.5625
Sheffield United,20-21,Premier,23,-43,4.0,4.0,0.0,54.0,62.7,8.0
Watford,21-22,Premier,23,-43,4.0,4.0,0.0,0.0,43.5,2.6
Wolves,25-26,Premier,20,-41,1.5,5.5,0.0,36.0,149.1,5.875
Ipswich Town,24-25,Premier,22,-46,2.5,3.5,0.0,36.0,152.59,5.550000000000001
Norwich City,19-20,Premier,21,-49,2.0,2.0,0.0,54.0,8.82,6.7
Norwich City,21-22,Premier,22,-61,2.5,0.5,0.0,36.0,63.55,4.575
Huddersfield,18-19,Premier,16,-54,0.5,1.5,0.0,0.0,50.7,0.65
Southampton,24-25,Premier,12,-60,0.0,1.0,0.0,18.0,126.4,2.125
Sheffield United,23-24,Premier,16,-69,0.5,0.0,0.0,18.0,66.95,1.9625000000000001
