Squad,Season,League,Pts,GD,Pts_P,GD_P,UEFA,Cup,Transfers,CSI
Mallorca,23-24,LaLiga,40,-11,19.5,31.6,0.0,90.0,10.4,25.6075
Real Betis,23-24,LaLiga,57,3,68.8,64.3,25.0,30.0,20.4,52.5075
Granada,19-20,LaLiga,56,7,67.3,69.8,0.0,75.0,21.5,52.0575
Athletic Club,18-19,LaLiga,53,-4,60.8,54.2,0.0,45.0,33.65,41.875
Rayo Vallecano,24-25,LaLiga,52,-4,59.2,54.2,0.0,45.0,0.0,41.355000000000004
Valencia,23-24,LaLiga,49,-5,49.7,52.2,0.0,45.0,22.3,37.6175
Valencia,22-23,LaLiga,42,-3,26.6,56.2,0.0,60.0,12.5,32.910000000000004
Getafe,22-23,LaLiga,42,-11,26.6,31.6,0.0,30.0,15.75,21.915000000000003
Real Madrid,18-19,LaLiga,68,17,79.8,77.8,60.0,75.0,164.75,73.72
Girona,23-24,LaLiga,81,39,91.9,90.4,0.0,60.0,33.4,65.2475
Villarreal,25-26,LaLiga,72,26,84.9,85.4,0.0,30.0,105.5,58.347500000000004
Real Sociedad,18-19,LaLiga,50,-1,54.2,60.3,0.0,45.0,12.0,41.7125
Real Sociedad,24-25,LaLiga,46,-11,41.7,31.6,25.0,75.0,9.2,37.572500000000005
Alaves,23-24,LaLiga,46,-10,41.7,37.1,0.0,45.0,24.3,30.110000000000003
Sevilla,18-19,LaLiga,59,15,70.3,75.8,25.0,60.0,81.05,59.7325
Las Palmas,23-24,LaLiga,40,-14,19.5,25.1,0.0,30.0,54.75,17.495
Real Betis,25-26,LaLiga,60,11,71.8,73.8,35.0,60.0,62.5,62.07
Real Sociedad,19-20,LaLiga,56,8,67.3,72.3,0.0,100.0,45.8,55.37
Celta Vigo,25-26,LaLiga,54,5,63.8,67.3,35.0,30.0,15.0,54.3575
Osasuna,20-21,LaLiga,44,-11,37.6,31.6,0.0,45.0,9.15,26.990000000000002
Alaves,24-25,LaLiga,42,-10,26.6,37.1,0.0,15.0,20.0,22.2025
Rayo Vallecano,23-24,LaLiga,38,-19,14.5,15.5,0.0,45.0,10.4,14.25
Sevilla,16-17,LaLiga,72,20,84.9,79.3,60.0,45.0,81.7,72.865
Villarreal,19-20,LaLiga,60,14,71.8,75.3,0.0,60.0,188.73,53.8075
Athletic Club,17-18,LaLiga,43,-8,33.6,43.2,0.0,30.0,17.05,27.960000000000004
Celta Vigo,19-20,LaLiga,37,-12,13.0,28.6,0.0,30.0,1.4,16.520000000000003
Real Betis,24-25,LaLiga,60,7,71.8,69.8,45.0,45.0,41.05,61.77
Villarreal,17-18,LaLiga,61,7,74.8,69.8,15.0,45.0,46.1,55.245
Real Betis,20-21,LaLiga,61,0,74.8,62.3,0.0,60.0,0.0,50.5575
Espanyol,18-19,LaLiga,53,-2,60.8,58.2,0.0,60.0,22.1,44.675000000000004
Espanyol,16-17,LaLiga,56,-1,67.3,60.3,0.0,30.0,18.4,44.47
Eibar,17-18,LaLiga,51,-6,56.7,47.7,0.0,30.0,10.25,36.93
Eibar,18-19,LaLiga,47,-4,47.2,54.2,0.0,30.0,8.0,35.955000000000005
Alaves,17-18,LaLiga,47,-10,47.2,37.1,0.0,60.0,6.55,33.39750000000001
Alaves,18-19,LaLiga,50,-11,54.2,31.6,0.0,30.0,10.0,30.885000000000005
Osasuna,25-26,LaLiga,42,-6,26.6,47.7,0.0,45.0,30.5,28.647500000000004
Rayo Vallecano,21-22,LaLiga,42,-11,26.6,31.6,0.0,75.0,4.3,26.415000000000003
Villarreal,24-25,LaLiga,70,20,81.4,79.3,0.0,15.0,69.0,53.7275
Eibar,16-17,LaLiga,54,5,63.8,67.3,0.0,60.0,8.6,48.6075
Osasuna,21-22,LaLiga,47,-14,47.2,25.1,0.0,30.0,8.7,26.497500000000006
Leganes,17-18,LaLiga,43,-17,33.6,18.5,0.0,75.0,12.7,24.4325
Espanyol,24-25,LaLiga,42,-11,26.6,31.6,0.0,15.0,11.0,20.415000000000003
Cadiz,21-22,LaLiga,39,-16,16.5,21.1,0.0,60.0,6.1,18.22
Valladolid,18-19,LaLiga,41,-19,21.6,15.5,0.0,45.0,10.1,16.5575
Leganes,19-20,LaLiga,36,-21,11.5,13.0,0.0,45.0,24.6,12.4625
Villarreal,18-19,LaLiga,44,-3,37.6,56.2,35.0,45.0,92.9,43.735
Real Betis,18-19,LaLiga,50,-8,54.2,43.2,15.0,75.0,47.0,42.905
Osasuna,24-25,LaLiga,52,-4,59.2,54.2,0.0,60.0,8.05,42.855000000000004
Elche,21-22,LaLiga,42,-12,26.6,28.6,0.0,45.0,8.2,22.44
Eibar,20-21,LaLiga,30,-23,5.5,10.0,0.0,30.0,2.0,8.037500000000001
Valencia,19-20,LaLiga,53,-7,60.8,46.2,60.0,60.0,75.0,55.775
Real Sociedad,16-17,LaLiga,64,6,77.8,68.8,0.0,60.0,21.63,53.645
Valencia,21-22,LaLiga,48,-5,48.7,52.2,0.0,90.0,16.35,41.792500000000004
Levante,19-20,LaLiga,49,-6,49.7,47.7,0.0,30.0,14.45,34.655
Valencia,20-21,LaLiga,43,-3,33.6,56.2,0.0,45.0,0.05,33.685
Rayo Vallecano,22-23,LaLiga,49,-8,49.7,43.2,0.0,30.0,14.3,33.1925
Celta Vigo,22-23,LaLiga,43,-10,33.6,37.1,0.0,30.0,25.73,25.977500000000003
