Squad,Season,League,Pts,GD,PtsPerc,GDPerc,UEFAScore,Transfers,CSI
Alaves,25-26,LaLiga,43,-12,33.6,28.6,0,11.12,21.77
Real Sociedad,17-18,LaLiga,49,7,49.7,69.8,15,25.5,46.325
Girona,22-23,LaLiga,49,3,49.7,64.3,0,22.0,39.9
Real Madrid,24-25,LaLiga,84,40,92.9,91.9,70,49.0,85.68
Espanyol,24-25,LaLiga,42,-11,26.6,31.6,0,11.0,20.37
Sevilla,22-23,LaLiga,49,-7,49.7,46.2,65,30.4,53.065
Getafe,19-20,LaLiga,54,6,63.8,68.8,25,31.75,53.91
Celta Vigo,23-24,LaLiga,41,-11,21.6,31.6,0,10.4,18.62
Huesca,20-21,LaLiga,34,-19,10,15.5,0,4.65,8.925
Mallorca,23-24,LaLiga,40,-11,19.5,31.6,0,10.4,17.885
Cadiz,20-21,LaLiga,44,-22,37.6,12,0,10.1,17.36
Athletic Club,25-26,LaLiga,45,-15,39.6,24.1,45,22.0,35.795
Real Sociedad,25-26,LaLiga,46,-2,41.7,58.2,0,21.5,34.965
Leganes,18-19,LaLiga,45,-6,39.6,47.7,0,18.9,30.555
Valencia,23-24,LaLiga,49,-5,49.7,52.2,0,22.3,35.665
Sevilla,21-22,LaLiga,70,23,81.4,82.9,25,41.5,65.005
Espanyol,25-26,LaLiga,46,-12,41.7,28.6,0,15.2,24.605
Getafe,20-21,LaLiga,38,-15,14.5,24.1,0,8.0,13.51
Real Betis,24-25,LaLiga,60,7,71.8,69.8,45,41.05,63.06
Athletic Club,17-18,LaLiga,43,-8,33.6,43.2,0,17.05,26.88
Barcelona,23-24,LaLiga,85,35,93.9,88.4,70,56.5,84.805
Las Palmas,24-25,LaLiga,32,-21,7.5,13,0,4.0,7.175
Sevilla,23-24,LaLiga,41,-6,21.6,47.7,15,19.19,28.755
Villarreal,21-22,LaLiga,59,26,70.3,85.4,80,54.5,78.495
Leganes,16-17,LaLiga,35,-19,10.5,15.5,0,5.45,9.1
Barcelona,24-25,LaLiga,88,63,96.9,98.4,80,66.5,92.355
Alaves,21-22,LaLiga,31,-34,6,4,0,1.6,3.5
Leganes,17-18,LaLiga,43,-17,33.6,18.5,0,12.7,18.235
Getafe,21-22,LaLiga,39,-8,16.5,43.2,0,15.16,20.895
Granada,20-21,LaLiga,46,-18,41.7,17.5,35,23.5,31.22
Dep. La Coruna,16-17,LaLiga,36,-18,11.5,17.5,0,7.0,10.15
Eibar,19-20,LaLiga,42,-17,26.6,18.5,0,11.77,15.785
Espanyol,17-18,LaLiga,49,-6,49.7,47.7,0,26.8,34.09
Granada,23-24,LaLiga,21,-41,1.5,2,0,0.0,1.225
Elche,25-26,LaLiga,43,-8,33.6,43.2,0,21.1,26.88
Getafe,22-23,LaLiga,42,-11,26.6,31.6,0,15.75,20.37
Elche,20-21,LaLiga,36,-21,11.5,13,0,6.1,8.575
Real Betis,17-18,LaLiga,60,-1,71.8,60.3,0,38.5,46.235
Villarreal,17-18,LaLiga,61,7,74.8,69.8,15,46.1,55.11
Valladolid,18-19,LaLiga,41,-19,21.6,15.5,0,10.1,12.985
Athletic Club,18-19,LaLiga,53,-4,60.8,54.2,0,33.65,40.25
Real Sociedad,22-23,LaLiga,71,16,83.9,76.3,25,55.0,63.57
Real Betis,19-20,LaLiga,41,-12,21.6,28.6,0,14.6,17.57
Valladolid,19-20,LaLiga,42,-11,26.6,31.6,0,17.3,20.37
Atletico Madrid,16-17,LaLiga,78,43,89.9,93.4,80,78.8,88.155
Alaves,23-24,LaLiga,46,-10,41.7,37.1,0,24.3,27.58
Valencia,17-18,LaLiga,73,27,85.9,86.9,0,55.0,60.48
Villarreal,16-17,LaLiga,67,23,79.3,82.9,15,55.95,61.27
Real Madrid,22-23,LaLiga,78,39,89.9,90.4,80,80.0,87.105
Levante,18-19,LaLiga,44,-7,37.6,46.2,0,26.3,29.33
Girona,18-19,LaLiga,37,-16,13,21.1,0,10.2,11.935
Alaves,24-25,LaLiga,42,-10,26.6,37.1,0,20.0,22.295
Real Sociedad,19-20,LaLiga,56,8,67.3,72.3,0,45.8,48.86
Las Palmas,17-18,LaLiga,22,-50,2.5,1.5,0,0.35,1.4
Sevilla,20-21,LaLiga,77,20,88.9,79.3,60,74.35,76.87
Barcelona,21-22,LaLiga,73,30,85.9,87.9,35,69.5,71.33
Real Betis,25-26,LaLiga,60,11,71.8,73.8,35,62.5,61.46
Cadiz,22-23,LaLiga,42,-23,26.6,10,0,12.38,12.81
Getafe,23-24,LaLiga,43,-12,33.6,28.6,0,22.25,21.77
Cadiz,23-24,LaLiga,33,-29,8.5,7,0,4.8,5.425
Celta Vigo,22-23,LaLiga,43,-10,33.6,37.1,0,25.73,24.745
Rayo Vallecano,23-24,LaLiga,38,-19,14.5,15.5,0,10.4,10.5
Sevilla,16-17,LaLiga,72,20,84.9,79.3,60,81.7,75.47
