Squad,Season,League,Pts,GD,PtsPerc,GDPerc,UEFAScore,Transfers,CSI
Manchester Utd,24-25,Premier,42,-10,29.6,38.1,55,249.4,40.195
Everton,17-18,Premier,49,-14,47.2,33.1,15,203.2,32.605
West Ham,19-20,Premier,39,-13,19,34.6,0,119.8,18.76
Tottenham,25-26,Premier,41,-9,26.1,39.6,60,265.6,40.995
Watford,19-20,Premier,34,-28,12,12.5,0,56.0,8.575
Everton,22-23,Premier,36,-23,15.5,19,0,83.07,12.075
Norwich City,19-20,Premier,21,-49,2,2,0,8.82,1.4
West Ham,24-25,Premier,43,-16,31.1,28.1,0,144.4,20.72
Leeds United,21-22,Premier,38,-37,17.5,7,0,59.3,8.575
Liverpool,25-26,Premier,60,10,67.3,68.3,70,483.13,68.46
Cardiff City,18-19,Premier,34,-35,12,9,0,51.2,7.35
Hull City,16-17,Premier,34,-43,12,4,0,40.0,5.6
Stoke City,17-18,Premier,33,-33,11,10,0,57.7,7.35
Brighton,18-19,Premier,36,-25,15.5,16,0,90.62,11.025
Chelsea,23-24,Premier,63,14,72.8,72.3,0,448.1,50.785
Swansea City,17-18,Premier,33,-28,11,12.5,0,73.39,8.225
Bournemouth,22-23,Premier,39,-34,19,9.5,0,93.4,9.975
West Brom,20-21,Premier,26,-41,7,5.5,0,42.14,4.375
Nottingham,23-24,Premier,32,-18,10.5,26.1,0,131.63,12.81
Sunderland,16-17,Premier,24,-40,5,6.5,0,41.9,4.025
Wolves,22-23,Premier,41,-27,26.1,14,0,179.51,14.035
Chelsea,22-23,Premier,44,-9,32.6,39.6,70,630.25,46.27
West Ham,25-26,Premier,39,-19,19,24.1,0,208.35,15.085
Aston Villa,19-20,Premier,35,-26,14.5,14.5,0,159.5,10.15
Watford,21-22,Premier,23,-43,4,4,0,43.5,2.8
Nottingham,22-23,Premier,38,-30,17.5,11,0,198.35,9.975
Sheffield United,20-21,Premier,23,-43,4,4,0,62.7,2.8
Leeds United,22-23,Premier,31,-30,9.5,11,0,163.89,7.175
Burnley,23-24,Premier,24,-37,5,7,0,111.05,4.2
Leicester City,24-25,Premier,25,-47,6,2.5,0,90.05,2.975
Southampton,22-23,Premier,25,-37,6,7,0,154.21,4.55
Fulham,18-19,Premier,26,-47,7,2.5,0,116.5,3.325
Burnley,25-26,Premier,22,-37,2.5,7,0,131.5,3.325
Wolves,25-26,Premier,20,-41,1.5,5.5,0,149.1,2.45
Norwich City,21-22,Premier,22,-61,2.5,0.5,0,63.55,1.05
Ipswich Town,24-25,Premier,22,-46,2.5,3.5,0,152.59,2.1
Huddersfield,18-19,Premier,16,-54,0.5,1.5,0,50.7,0.7
Southampton,24-25,Premier,12,-60,0,1,0,126.4,0.35
Sheffield United,23-24,Premier,16,-69,0.5,0,0,66.95,0.175
